,season,episode,date,time,rating
0,SEASON 7 - Return to Africa,ITCHY BOOTS  New Season: this is where I am going! , 4 months , 20 ,"s 1,237,258 views"
1,SEASON 7 - Return to Africa,I need their help. |S7 - E2| , 4 months , 19 ,"s 1,548,717 views"
2,SEASON 7 - Return to Africa,No motorcyclists have gone here before |S7 - E3| , 4 months , 25 ,"s 905,116 views"
3,SEASON 7 - Return to Africa,How I ended up in a Berber village in Morocco |S7 - E4| , 4 months , 18 ,"s 790,900 views"
4,SEASON 7 - Return to Africa,Motorcycling solo into the Sahara Desert of Morocco |S7 - E5| , 4 months , 18 ,"s 648,198 views"
5,SEASON 7 - Return to Africa,I get stuck trying to cross the Saharan sand dunes of Morocco |S7 -E6| , 4 months , 18 ,"s 617,979 views"
6,SEASON 7 - Return to Africa,DESERT OASIS explained: this is how they do it. |S7 - E7| , 4 months , 20 ,"s 804,787 views"
7,SEASON 7 - Return to Africa,MORDOR lies here: in Morocco. |S7 -E8| , 4 months , 24 ,"s 598,292 views"
8,SEASON 7 - Return to Africa,Scaling the HIGHEST ROAD of MOROCCO |S7 - E9| , 4 months , 22 ,"s 537,552 views"
9,SEASON 7 - Return to Africa,Motorcycling the Atlas Mountains of Morocco gone WRONG |S7 - E10| , 4 months , 19 ,"s 634,804 views"
10,SEASON 7 - Return to Africa,Limping back to a Moroccan city after damaging my motorcycle |S7 - E11| , 4 months , 18 ,"s 687,796 views"
11,SEASON 7 - Return to Africa,This is a serious problem with my motorcycle |S7 - E12| , 3 months , 27 ,"s 1,481,540 views"
12,SEASON 7 - Return to Africa,Crazy weather conditions in Morocco 🇲🇦 |S7 - E13| , 3 months , 24 ,"s 693,361 views"
13,SEASON 7 - Return to Africa,Was this even a good idea? |S7 - E14| , 3 months , 28 ,"s 1,038,223 views"
14,SEASON 7 - Return to Africa,This day in Dakhla is not panning out like I thought |S7-E15| , 3 months , 24 ,"s 832,947 views"
15,SEASON 7 - Return to Africa,Crossing into MAURITANIA |S7 - E16| , 3 months , 19 ,"s 547,670 views"
16,SEASON 7 - Return to Africa,Changing my US dollars at the border of MAURITANIA |S7 - E17| , 3 months , 24 ,"s 597,443 views"
17,SEASON 7 - Return to Africa,My bike doesn't start anymore and I’m alone in the desert of Mauritania 🇲🇷 |S7 - E18| , 3 months , 25 ,"s 1,342,011 views"
18,SEASON 7 - Return to Africa,Invited by NOMADS in Mauritania for some CAMEL MILK  |S7 - E19| , 3 months , 22 ,"s 501,289 views"
19,SEASON 7 - Return to Africa,Was this the real location of the lost city of Atlantis? Deep into the Mauritanian desert |S7 - E20| , 3 months , 26 ,"s 564,071 views"
20,SEASON 7 - Return to Africa,Hectic mountain climb on motorcycle to reach Richat Structure (Atlantis?) |S7 - E21| , 3 months , 23 ,"s 546,922 views"
21,SEASON 7 - Return to Africa,"World’s most fascinating feature, but is it Atlantis? |S7 - E22| ", 3 months , 27 ,"s 552,898 views"
