,Unnamed: 0,season_no,season_title,uploading_date,rate,time,E,title
0,0,7,Return to Africa,0,1237258,20,-1,ITCHY BOOTS  New Season: this is where I am going! 
1,1,7,Return to Africa,0,1548717,19,2,I need their help. 
2,2,7,Return to Africa,0,905116,25,3,No motorcyclists have gone here before 
3,3,7,Return to Africa,0,790900,18,4,How I ended up in a Berber village in Morocco 
4,4,7,Return to Africa,0,648198,18,5,Motorcycling solo into the Sahara Desert of Morocco 
5,5,7,Return to Africa,0,617979,18,6,I get stuck trying to cross the Saharan sand dunes of Morocco 
6,6,7,Return to Africa,0,804787,20,7,DESERT OASIS explained: this is how they do it. 
7,7,7,Return to Africa,0,598292,24,8,MORDOR lies here: in Morocco. 
8,8,7,Return to Africa,0,537552,22,9,Scaling the HIGHEST ROAD of MOROCCO 
9,9,7,Return to Africa,0,634804,19,10,Motorcycling the Atlas Mountains of Morocco gone WRONG 
10,10,7,Return to Africa,0,687796,18,11,Limping back to a Moroccan city after damaging my motorcycle 
11,11,7,Return to Africa,0,1481540,27,12,This is a serious problem with my motorcycle 
12,12,7,Return to Africa,0,693361,24,13,Crazy weather conditions in Morocco 🇲🇦 
13,13,7,Return to Africa,0,1038223,28,14,Was this even a good idea? 
14,14,7,Return to Africa,0,832947,24,15,This day in Dakhla is not panning out like I thought 
15,15,7,Return to Africa,0,547670,19,16,Crossing into MAURITANIA 
16,16,7,Return to Africa,0,597443,24,17,Changing my US dollars at the border of MAURITANIA 
17,17,7,Return to Africa,0,1342011,25,18,My bike doesn't start anymore and I’m alone in the desert of Mauritania 🇲🇷 
18,18,7,Return to Africa,0,501289,22,19,Invited by NOMADS in Mauritania for some CAMEL MILK  
19,19,7,Return to Africa,0,564071,26,20,Was this the real location of the lost city of Atlantis? Deep into the Mauritanian desert 
20,20,7,Return to Africa,0,546922,23,21,Hectic mountain climb on motorcycle to reach Richat Structure (Atlantis?) 
21,21,7,Return to Africa,0,552898,27,22,"World’s most fascinating feature, but is it Atlantis? "
22,22,7,Return to Africa,0,467336,22,23,Ancient desert library with a secret key 
23,23,7,Return to Africa,0,1250256,25,24,Brand new road already swallowed by desert in Mauritania 🇲🇷 
24,24,7,Return to Africa,0,701518,22,25,Chaos at Mauritania - Senegal land border 
25,25,7,Return to Africa,0,603899,26,26,River crossing with motorcycle to enter SENEGAL 
26,26,7,Return to Africa,0,619999,20,27,First leg of the African Continent COMPLETE - Reaching DAKAR 
27,27,7,Return to Africa,0,556912,20,28,Fixing up my bike to continue down Africa - 
28,28,7,Return to Africa,0,608969,17,29,My motorcycle is BANNED here in Senegal 🇸🇳 
29,29,7,Return to Africa,0,456796,22,30,Getting across the SALOUM DELTA in Senegal is not as easy as I thought 
30,30,7,Return to Africa,0,506538,22,31,I become a free mototaxi driver on an island in Senegal 🇸🇳 
31,31,7,Return to Africa,0,1042821,19,32,Gambian men cannot believe their eyes 🇬🇲 
32,32,7,Return to Africa,0,518285,25,33,These river crossings are getting RIDICULOUS 
33,33,7,Return to Africa,0,349501,18,34,Finding WILD Chimpanzees with Captain Hippo 
34,34,7,Return to Africa,0,460430,21,35,Will I get the right stamps to get out of The GAMBIA?! 
35,35,7,Return to Africa,0,501263,22,36,I need to speak PORTUGUESE here in GUINEA - BISSAU 
36,36,7,Return to Africa,0,440436,25,37,EPIC border crossing in Africa to enter Guinea 
37,37,7,Return to Africa,0,441979,21,38,My motorcycle and I get an absolute beating in the highlands of GUINEA 🇬🇳 
38,38,7,Return to Africa,0,667595,19,39,The INSANE escape mechanism of the Guinean People 🇬🇳  
39,39,7,Return to Africa,0,474803,20,40,My journey brings me to the edge of GUINEA 
40,40,7,Return to Africa,0,438453,20,41,Didn’t think I would enter SIERRA LEONE 🇸🇱 
41,41,7,Return to Africa,0,541270,15,42,My motorcycle has a serious problem. No help in Sierra Leone. 
42,42,7,Return to Africa,0,524676,23,43,I shouldn't have taken the single track. Off-roading Sierra Leone 🇸🇱 
43,43,7,Return to Africa,0,419483,21,44,300.000 people are digging for diamonds in Sierra Leone 🇸🇱 
44,44,7,Return to Africa,0,558778,22,45,The money is worth nothing here 🇸🇱 
45,45,7,Return to Africa,0,406494,22,46,Lebanese car mechanic trying to fix my CRF300 Rally in Liberia 
46,46,6,Project Alaska,1,4547879,19,1,I bought a new motorcycle for more Itchy Boots adventures!! 
47,47,6,Project Alaska,1,842995,19,2,Getting ready to return to South America! 
48,48,6,Project Alaska,1,1106414,19,3,Shipping my motorcycle to South America.. by plane! 
49,49,6,Project Alaska,1,745501,8,4,"Trying to get my motorcycle out of the airport in Quito, Ecuador! "
50,50,6,Project Alaska,1,857880,22,5,Motorcycle adventures in Ecuador BEGIN!! 
51,51,6,Project Alaska,1,748437,21,6,This river crossing is like BLIND ENDURO 
52,52,6,Project Alaska,1,629262,16,7,You have to pay to enter this Ecuadorian village! 
53,53,6,Project Alaska,1,686877,20,8,I hope this volcano won't erupt today! 
54,54,6,Project Alaska,1,497755,23,9,Finding the most expensive animal on Ecuadorian mountain market 
55,55,6,Project Alaska,1,959788,21,10,You are the closest to outer space on THIS place on earth! 
56,56,6,Project Alaska,1,636432,19,11,I can't believe the ingenuity of the Inca Temple of the Sun!! 
57,57,6,Project Alaska,1,1643195,23,12,Don't go to this part of Ecuador! 
58,58,6,Project Alaska,1,676229,22,13,From 4000 meters altitude straight back into the Ecuadorian JUNGLE! 
59,59,6,Project Alaska,1,580716,13,14,Ending 2021 in the AMAZON 🇪🇨 
60,60,6,Project Alaska,1,461495,19,15,I stayed with the indigenous Achuar and Shuar people of Ecuador 
61,61,6,Project Alaska,1,1233912,19,16,Crossing an amazon river with my CRF300 Rally. REALLY?! 
62,62,6,Project Alaska,1,534762,14,17,Motorcycling the mighty COTOPAXI volcano in Ecuador 
63,63,6,Project Alaska,1,1360032,26,18,Trying to cross the border into COLOMBIA 🇨🇴 
64,64,6,Project Alaska,1,1933616,19,19,"Surviving Colombia’s ""TRAMPOLINE OF DEATH"" "
65,65,6,Project Alaska,1,755381,22,20,I got my CRF300Rally stuck in mud in COLOMBIA 🇨🇴 
66,66,6,Project Alaska,1,580059,19,21,From JUNGLE into the DESERT of Colombia 🇨🇴 
67,67,6,Project Alaska,1,638356,18,22,Don’t ride off the edge!! This is Colombia 🇨🇴  
68,68,6,Project Alaska,1,671466,18,23,Not what I expected to find in these remote mountains in Colombia 🇨🇴 
69,69,6,Project Alaska,1,1166325,22,24,Attempt to cross an abandoned railway bridge in Colombia 🇨🇴 
70,70,6,Project Alaska,1,690519,23,25,My plan to cross the DARIEN GAP. 
71,71,6,Project Alaska,1,815856,24,26,A NERVE-RACKING boat ride avoiding the Darien Gap 
72,72,6,Project Alaska,1,560088,18,27,Crossing the border into PANAMA 🇵🇦 past the Darien Gap 
73,73,6,Project Alaska,1,598358,25,28,Race against time to import my motorcycle 
74,74,6,Project Alaska,1,657618,19,29,You won't believe how genius this is. 
75,75,6,Project Alaska,1,611815,26,30,How I ended up in a riverbed in the jungle of Panama 
76,76,6,Project Alaska,1,567953,19,31,I don't know what I am doing. Mountains of Panama. 
77,77,6,Project Alaska,1,727240,19,32,I am lucky to get help. 
78,78,6,Project Alaska,1,485786,20,33,They won't let me climb the volcano. 
79,79,6,Project Alaska,1,585064,22,34,Can't find the trail on this jungle island in Panama! 
80,80,6,Project Alaska,1,566868,27,35,I joined the indigenous Naso tribe of Panama 
81,81,6,Project Alaska,1,673850,18,36,Crossing into COSTA RICA 🇨🇷 
82,82,6,Project Alaska,1,551650,25,37,They won't let me get any closer - this volcano in Costa Rica just got active! 
83,83,6,Project Alaska,1,494793,20,38,I can only stay here for 20 MINUTES 
84,84,6,Project Alaska,1,608558,19,39,Crossing three rivers in Costa Rica with CROCODILES 🇨🇷 
85,85,6,Project Alaska,1,543824,24,40,Change of plans. 
86,86,6,Project Alaska,1,623607,25,41,Crossing into NICARAGUA 🇳🇮 
87,87,6,Project Alaska,1,616895,25,42,Should have better secured my bike!! Nicaragua 🇳🇮 
88,88,6,Project Alaska,1,414735,25,43,"The ancient, secret map of Nicaragua 🇳🇮 "
89,89,6,Project Alaska,1,524234,23,44,Making the impossible possible in Nicaragua 🇳🇮 
90,90,6,Project Alaska,1,716276,23,45,Nobody ever brought a motorcycle here in Nicaragua 🇳🇮 
91,91,6,Project Alaska,1,458228,24,46,Hunting for the lost city of Nicaragua with the Rama Indians 
92,92,6,Project Alaska,1,587927,22,47,First on-road surgery for my CRF300 rally! 
93,93,6,Project Alaska,1,559510,30,48,I entered an underground gold mine in Nicaragua 
94,94,6,Project Alaska,1,497902,28,49,Boarding down an active volcano in Nicaragua 
95,95,6,Project Alaska,1,432294,19,50,This is my final ride in Nicaragua 
96,96,6,Project Alaska,1,565026,20,51,Crossing the border into Honduras 
97,97,6,Project Alaska,1,5916220,27,52,They try to trap me in Honduras 🇭🇳  DANGEROUS! 
98,98,6,Project Alaska,1,660072,23,53,A mysterious cave in Honduras 🇭🇳 - The cave of the GLOWING SKULLS 
99,99,6,Project Alaska,1,590570,16,54,Forced to ride my motorcycle in the nighttime in Honduras. 
100,100,6,Project Alaska,1,904487,23,55,Nobody knows this deserted island in Honduras 🇭🇳 
101,101,6,Project Alaska,1,501601,21,56,It took me 11 hours to find this place in Honduras 🇭🇳 
102,102,6,Project Alaska,1,1311607,25,57,The biggest mystery of Honduras 🇭🇳 
103,103,6,Project Alaska,1,747356,23,58,Crossing the border Honduras - El Salvador 
104,104,6,Project Alaska,1,763504,22,59,First service HONDA CRF300Rally after 12.000 kilometers. El Salvador 🇸🇻 
105,105,6,Project Alaska,1,684802,20,60,Trying to make it out of El Salvador - one day ride to border 🇸🇻 
106,106,6,Project Alaska,1,1119215,22,61,Charly Sinewan helps me get my illegal motorcycle out of El Salvador! 
107,107,6,Project Alaska,1,1053108,22,62,I cross the border alone in GUATEMALA 
108,108,6,Project Alaska,1,611996,25,63,I have to cross these LAVA FIELDS of active Volcano Pacaya 
109,109,6,Project Alaska,1,702359,24,64,Attempt to reach Lake Atitlan in Guatemala is harder than expected 
110,110,6,Project Alaska,1,2885049,24,65,Guatemalan POLICE escorts Dutch biker and her motorcycle through area with BANDITS 
111,111,6,Project Alaska,1,1539912,28,66,More damage to my CRF300L Rally in GUATEMALA 
112,112,6,Project Alaska,1,762388,27,67,Only my motorcycle can pass here:I have to find an IXIL house in GUATEMALA 
113,113,6,Project Alaska,1,794600,28,68,An insane search on motorcycle for one lady in the mountains of GUATEMALA 
114,114,6,Project Alaska,1,1413676,23,69,I found a HIDDEN PARADISE in the mountains of GUATEMALA 
115,115,6,Project Alaska,1,633794,23,70,You won't believe this THERMAL WATERFALL in Guatemala 
116,116,6,Project Alaska,1,1924753,27,71,Solo motorcycle adventure in GUATEMALAN jungle gone wrong 
117,117,6,Project Alaska,1,993411,36,72,The long lost Mayan temples of Nakum - Motorcycling deep into Guatemalan Jungle. 
118,118,6,Project Alaska,1,788521,23,73,Crossing the GUATEMALA - BELIZE land border 
119,119,6,Project Alaska,1,661665,23,74,They won’t let me through (security cameras). Belize 🇧🇿 
120,120,6,Project Alaska,1,749793,20,75,The best petrol station of Belize 🇧🇿 (amazing system) 
121,121,6,Project Alaska,1,852317,22,76,Crossing the landborder into MEXICO 
122,122,6,Project Alaska,1,1336864,21,77,Mexican POLICE keep stopping me for questioning 
123,123,6,Project Alaska,1,645770,26,78,Riding into flooded forest in Mexico - in search for the Maya people 
124,124,6,Project Alaska,1,777527,22,79,Mexico's most dangerous road? 🇲🇽 
125,125,6,Project Alaska,1,828007,25,80,Escaping more road blocks in Mexico 🇲🇽 
126,126,6,Project Alaska,1,762270,37,81,Trying to save baby sea turtles on Mexican beach 
127,127,6,Project Alaska,1,718870,23,82,The BEST motorcycle shop of Mexico 
128,128,6,Project Alaska,1,2529213,31,83,“People with guns are blocking the road”. MEXICO 🇲🇽 
129,129,6,Project Alaska,1,658030,22,84,Mexican tunnels to secretly move the army against the invaders 
130,130,6,Project Alaska,1,676222,23,85,The biggest time telling device on Earth - in Mexico 🇲🇽 
131,131,6,Project Alaska,1,586664,22,86,I rode into a dead end canyon in Mexico 🇲🇽 
132,132,6,Project Alaska,1,956771,35,87,Motorcycling planet MARS in MEXICO (unbelievable landscape) 
133,133,6,Project Alaska,1,663847,29,88,This is not what I expected solo motorcycling through Mexico to be like 🇲🇽 
